head,abd,femur
28,23.1,5.67
28.57,26.5,6.19
25.6,23.04,5.16
25.1,23.79,5.21
21.25,20.5,4.34
26.42,23.78,5.78
23.04,19.32,4.82
26.48,23.77,5.83
24.75,24.26,5.02
24.31,22.55,4.74
27.91,23.07,5.39
27.83,25.76,5.31
24.91,22.02,4.87
27.25,23.65,5.36
25.03,21.79,4.67
24.57,20.27,4.58
24.37,20.66,4.93
24.58,21.3,4.95
27.59,22.52,6.15
23.93,23.82,5.5
27.37,24.48,5.47
25.28,22.19,5.55
24.67,24.63,4.98
26.33,24.03,5.42
28.29,23.86,5.31
27.02,23.94,5.72
25.32,21.24,4.61
27.97,23.31,5.19
25.76,22.53,5.27
26.45,22.04,4.86
24.48,23.04,5.07
24.25,21.04,4.88
28.07,23.67,5.6
25.9,23.66,4.99
27.22,25.01,5.11
25.85,22.68,5.02
25.82,23.46,5.22
27.22,23.13,4.78
24.45,22.97,4.88
26.33,26.3,5.8
28.85,27.06,5.3
26.92,22.63,4.9
24.73,22.21,4.82
23.77,24.72,4.86
27.79,25.08,5.03
23.78,20.77,4.89
24.51,22.82,5.19
24.27,20.88,4.77
22.57,20.54,4.63
24.83,22.33,4.81
29.3,29.35,6.01
25.55,21.81,4.86
27.47,24.47,5.29
25.36,21.75,5.06
27.17,23.41,5.82
27.01,27.13,5.4
22.45,22,4.41
23.49,20.69,4.86
23.15,20.74,4.73
24.65,21.71,4.84
24.57,22.37,4.71
27.16,25.26,5.42
27.08,23.33,5.39
23.94,22.15,4.77
27.01,22.96,5.21
24.55,22.24,4.8
26.05,22.67,5.57
26.72,22.42,5.57
26.65,24.74,4.96
27.41,25.99,5.26
24.72,21.79,5.11
28.37,24.94,5.19
26.46,24.73,5.36
25.79,22.64,4.84
26.42,23.64,5
24.73,21.97,5.01
28.34,25.12,5.4
27.09,23.64,5.12
23.72,20.93,4.92
24.61,20.61,5.28
24.85,21.5,5.35
23.82,22.59,4.81
29.79,27.94,5.79
26.62,24.48,5.69
23.63,20.42,4.56
23.24,21.44,4.44
24.35,21.3,4.58
23.91,20.36,4.8
23.51,20.47,4.88
23.41,20.12,4.73
25.8,23.19,5.34
24.9,23.91,5.12
27.09,23.99,4.94
26.61,24.47,4.64
24.96,20.52,4.76
25.72,22.71,4.73
27.3,22.87,5.59
28.28,24.64,5.48
24.08,23.11,4.66
25.7,23.15,5.8
23.35,20.85,4.77
27.12,25.73,5.98
26.66,24.31,5.62
25.82,23.03,4.81
27.84,25.93,5.5
26.54,23.26,5.28
25.88,22.29,4.96
24.59,21.86,5.22
25.14,22.17,5.52
24.45,21.15,4.84
21.89,19.34,4.29
24,21.35,4.86
24.81,21.97,5.14
26,21.59,5.17
28.05,24.08,5.14
25.26,22.15,4.35
29.08,25.13,5.18
26.05,23.18,4.75
28.18,25.63,5.59
23.57,19.57,4.66
27.77,23.85,5.7
27.46,25.62,4.93
28.02,24.95,5.6
22.83,20.36,4.51
27.46,22.66,5.38
28.01,24.97,5.53
27.09,25.16,5.4
27.39,25.29,5.53
26.54,24.76,5.33
23.11,21.88,4.53
29.35,25.87,5.82
25.69,23.13,5.34
27.45,24.07,5.33
25.75,21.39,4.77
26.51,21.47,4.95
25.24,23.33,5.28
25.8,21.54,5.05
25.85,22.31,5.37
24.07,21.3,4.79
26.73,25.85,5.09
24.64,22.29,5.06
27.3,24.63,5.34
23.93,20.43,4.83
27.61,24.43,5.05
25.79,24.38,5.34
29.23,24.78,5.91
28.33,24.72,5.28
26.75,20.96,4.75
25.01,21.41,4.68
25.6,22.76,4.86
23.48,20.96,5.12
22.38,19.82,5.05
27.07,27.69,6.16
29.15,28.38,5.78
26.52,24.42,4.94
27.08,25.95,5.85
28.88,25.41,5.93
25.2,23.35,4.97
29.32,26.77,5.31
26.01,22.24,5.24
28.89,24.63,5.63
27.43,24.89,5.48
27.44,24.74,5.33
28.91,25.82,5.14
25.72,22.21,4.96
26.5,22.59,5.08
27.86,22.92,5.53
27.83,24.01,5.62
26.87,24.08,5
25.2,24.69,5.27
24.31,21.62,5.03
29.23,26.9,5.86
27.73,24.03,5.61
25.35,22.63,5.22
25.8,24.96,5.2
27.07,22.29,5.58
24.05,22.48,4.85
27.48,25.07,5.68
23.62,20.96,4.5
23.57,20.99,4.78
23.48,20.44,4.76
25.88,21.68,5.32
24.97,21.32,5.08
26.2,22.9,4.97
24.8,21.75,5.06
24.98,22.88,4.6
24.79,21.39,4.86
27.01,24.27,4.91
26.61,21.99,5.07
23.63,21.43,5.04
24.23,23.52,4.67
24.49,22.38,4.98
25,20.83,4.67
25.26,21.63,4.97
28.47,26.66,5.62
26.66,24.26,5.62
26.06,22.78,5.06
25.27,23.59,5.07
25.38,23.58,5.44
27.12,25.85,5.35
26.61,25.19,5.97
25.41,23.14,5.55
26.19,23.43,5.11
23.54,22.64,4.79
27.29,22.76,5.53
24.02,22.09,4.9
25.25,22.32,4.99
26.8,23.76,5.49
23.45,20.6,4.35
26.53,25.54,5.08
24.95,21.84,5.36
25.12,20.4,4.6
23.95,21.4,4.66
26.07,25.31,5.14
26.2,25.64,5.53
24.68,23.95,5.24
24.14,20.66,4.44
25.94,22.07,5.07
